Series ID,Year,Period,Label,Value,1-Month % Change
CUUR0000SA0,1994,M01,1994 Jan,146.2,0.3
CUUR0000SA0,1994,M02,1994 Feb,146.7,0.3
CUUR0000SA0,1994,M03,1994 Mar,147.2,0.3
CUUR0000SA0,1994,M04,1994 Apr,147.4,0.1
CUUR0000SA0,1994,M05,1994 May,147.5,0.1
CUUR0000SA0,1994,M06,1994 Jun,148.0,0.3
CUUR0000SA0,1994,M07,1994 Jul,148.4,0.3
CUUR0000SA0,1994,M08,1994 Aug,149.0,0.4
CUUR0000SA0,1994,M09,1994 Sep,149.4,0.3
CUUR0000SA0,1994,M10,1994 Oct,149.5,0.1
CUUR0000SA0,1994,M11,1994 Nov,149.7,0.1
CUUR0000SA0,1994,M12,1994 Dec,149.7,0.0
CUUR0000SA0,1995,M01,1995 Jan,150.3,0.4
CUUR0000SA0,1995,M02,1995 Feb,150.9,0.4
CUUR0000SA0,1995,M03,1995 Mar,151.4,0.3
CUUR0000SA0,1995,M04,1995 Apr,151.9,0.3
CUUR0000SA0,1995,M05,1995 May,152.2,0.2
CUUR0000SA0,1995,M06,1995 Jun,152.5,0.2
CUUR0000SA0,1995,M07,1995 Jul,152.5,0.0
CUUR0000SA0,1995,M08,1995 Aug,152.9,0.3
CUUR0000SA0,1995,M09,1995 Sep,153.2,0.2
CUUR0000SA0,1995,M10,1995 Oct,153.7,0.3
CUUR0000SA0,1995,M11,1995 Nov,153.6,-0.1
CUUR0000SA0,1995,M12,1995 Dec,153.5,-0.1
CUUR0000SA0,1996,M01,1996 Jan,154.4,0.6
CUUR0000SA0,1996,M02,1996 Feb,154.9,0.3
CUUR0000SA0,1996,M03,1996 Mar,155.7,0.5
CUUR0000SA0,1996,M04,1996 Apr,156.3,0.4
CUUR0000SA0,1996,M05,1996 May,156.6,0.2
CUUR0000SA0,1996,M06,1996 Jun,156.7,0.1
CUUR0000SA0,1996,M07,1996 Jul,157.0,0.2
CUUR0000SA0,1996,M08,1996 Aug,157.3,0.2
CUUR0000SA0,1996,M09,1996 Sep,157.8,0.3
CUUR0000SA0,1996,M10,1996 Oct,158.3,0.3
CUUR0000SA0,1996,M11,1996 Nov,158.6,0.2
CUUR0000SA0,1996,M12,1996 Dec,158.6,0.0
CUUR0000SA0,1997,M01,1997 Jan,159.1,0.3
CUUR0000SA0,1997,M02,1997 Feb,159.6,0.3
CUUR0000SA0,1997,M03,1997 Mar,160.0,0.3
CUUR0000SA0,1997,M04,1997 Apr,160.2,0.1
CUUR0000SA0,1997,M05,1997 May,160.1,-0.1
CUUR0000SA0,1997,M06,1997 Jun,160.3,0.1
CUUR0000SA0,1997,M07,1997 Jul,160.5,0.1
CUUR0000SA0,1997,M08,1997 Aug,160.8,0.2
CUUR0000SA0,1997,M09,1997 Sep,161.2,0.2
CUUR0000SA0,1997,M10,1997 Oct,161.6,0.2
CUUR0000SA0,1997,M11,1997 Nov,161.5,-0.1
CUUR0000SA0,1997,M12,1997 Dec,161.3,-0.1
CUUR0000SA0,1998,M01,1998 Jan,161.6,0.2
CUUR0000SA0,1998,M02,1998 Feb,161.9,0.2
CUUR0000SA0,1998,M03,1998 Mar,162.2,0.2
CUUR0000SA0,1998,M04,1998 Apr,162.5,0.2
CUUR0000SA0,1998,M05,1998 May,162.8,0.2
CUUR0000SA0,1998,M06,1998 Jun,163.0,0.1
CUUR0000SA0,1998,M07,1998 Jul,163.2,0.1
CUUR0000SA0,1998,M08,1998 Aug,163.4,0.1
CUUR0000SA0,1998,M09,1998 Sep,163.6,0.1
CUUR0000SA0,1998,M10,1998 Oct,164.0,0.2
CUUR0000SA0,1998,M11,1998 Nov,164.0,0.0
CUUR0000SA0,1998,M12,1998 Dec,163.9,-0.1
CUUR0000SA0,1999,M01,1999 Jan,164.3,0.2
CUUR0000SA0,1999,M02,1999 Feb,164.5,0.1
CUUR0000SA0,1999,M03,1999 Mar,165.0,0.3
CUUR0000SA0,1999,M04,1999 Apr,166.2,0.7
CUUR0000SA0,1999,M05,1999 May,166.2,0.0
CUUR0000SA0,1999,M06,1999 Jun,166.2,0.0
CUUR0000SA0,1999,M07,1999 Jul,166.7,0.3
CUUR0000SA0,1999,M08,1999 Aug,167.1,0.2
CUUR0000SA0,1999,M09,1999 Sep,167.9,0.5
CUUR0000SA0,1999,M10,1999 Oct,168.2,0.2
